"YEAR","JURISDICTION","SpeedingFines","Alcohol_drug_tests","Positive_drug_tests"
2020,"ACT",57612,42221,834
2020,"NSW",915316,2969468,12652
2020,"NT",40921,103102,372
2020,"QLD",910858,1382825,8871
2020,"SA",175237,437467,5728
2020,"TAS",40751,127516,3273
2020,"VIC",937192,1243939,10256
2020,"WA",695586,1320614,4919
2021,"ACT",113807,16949,461
2021,"NSW",1452620,2900111,16997
2021,"NT",38648,83982,273
2021,"QLD",978926,1617795,9847
2021,"SA",202693,507837,4226
2021,"TAS",39228,93802,2618
2021,"VIC",1231672,1506844,9717
2021,"WA",809544,2016771,5326
2022,"NSW",1217596,3936574,9527
2022,"NT",33642,66938,181
2022,"QLD",849399,1720522,12064
2022,"SA",186196,619635,5607
2022,"TAS",42737,120767,2209
2022,"VIC",1378231,2371556,10628
2022,"WA",843541,2223126,6262
2023,"ACT",71961,59507,203
2023,"NSW",881483,3674316,13517
2023,"NT",43306,107714,573
2023,"QLD",860626,1910302,11853
2023,"SA",203602,650998,5329
2023,"TAS",65040,142648,2223
2023,"VIC",1302628,3077238,8813
2023,"WA",807487,2060842,5622
2024,"ACT",68846,81665,227
2024,"NSW",905672,3663846,19387
2024,"NT",48055,105824,2980
2024,"QLD",794883,1924679,12063
2024,"SA",184581,597923,5333
2024,"TAS",74993,131490,2787
2024,"VIC",773470,2099268,5376
2024,"WA",472833,2174510,7238
